process,family,lag,radius,candidates,mean_rule_count,mean_dimension,mean_validation_rmse,mean_gaussian_kl,mean_total_kl,mean_certificate
mackey_glass,dense_tsk,15,0.75,25,10.6,169.6,0.05953143657841762,93.85606673756581,110.50883323284957,0.2607078298617371
mackey_glass,dense_tsk,15,1.0,25,6.0,96.0,0.05584466769061757,56.17633353226282,69.64062299697082,0.1976062669262981
mackey_glass,dense_tsk,15,1.25,25,4.6,73.6,0.055769480353592985,44.52246436031116,57.01634777223524,0.18377768743847864
mackey_glass,dense_tsk,15,1.5,25,2.0,32.0,0.059783175619347685,17.86236486403358,28.554065606501805,0.1368966006059247
mackey_glass,dense_tsk,15,1.75,25,2.0,32.0,0.059783175619347685,17.86236486403358,28.554065606501805,0.1368966006059247
mackey_glass,dense_tsk,15,2.0,25,1.0,16.0,0.06096376698629074,7.8900054695024275,17.888559031410704,0.11259012520446067
mackey_glass,dense_tsk,15,2.5,25,1.0,16.0,0.06096376698629074,7.8900054695024275,17.888559031410704,0.11259012520446067
mackey_glass,dense_tsk,15,3.0,25,1.0,16.0,0.06096376698629074,7.8900054695024275,17.888559031410704,0.11259012520446067
mackey_glass,dense_tsk,15,4.0,25,1.0,16.0,0.06096376698629074,7.8900054695024275,17.888559031410704,0.11259012520446067
mackey_glass,dense_tsk,15,5.0,25,1.0,16.0,0.06096376698629074,7.8900054695024275,17.888559031410704,0.11259012520446067
mackey_glass,dense_tsk,20,0.75,20,11.0,231.0,0.0536467229242779,121.37031201609015,138.30033738359788,0.29831683861917907
mackey_glass,dense_tsk,20,1.0,25,6.2,130.2,0.051542194545503774,67.1733005576068,80.7762194584268,0.21837780875955307
mackey_glass,dense_tsk,20,1.25,25,4.8,100.8,0.051528635892914815,52.850375803876,65.48288865191206,0.20010070870175067
mackey_glass,dense_tsk,20,1.5,25,3.4,71.4,0.05258875023124702,35.58883252833773,47.25093932358988,0.17825891828401455
mackey_glass,dense_tsk,20,1.75,25,1.8,37.8,0.0578350672851103,22.091539406172387,32.64461071252862,0.14454038032321745
mackey_glass,dense_tsk,20,2.0,25,1.0,21.0,0.06075716660763152,10.81783919184574,20.816392753754016,0.11952318341747635
mackey_glass,dense_tsk,20,2.5,25,1.0,21.0,0.06075716660763152,10.81783919184574,20.816392753754016,0.11952318341747635
mackey_glass,dense_tsk,20,3.0,25,1.0,21.0,0.06075716660763152,10.81783919184574,20.816392753754016,0.11952318341747635
mackey_glass,dense_tsk,20,4.0,25,1.0,21.0,0.06075716660763152,10.81783919184574,20.816392753754016,0.11952318341747635
mackey_glass,dense_tsk,20,5.0,25,1.0,21.0,0.06075716660763152,10.81783919184574,20.816392753754016,0.11952318341747635
mackey_glass,fixed_k_dense_tsk,3,,150,5.833333333333333,23.333333333333332,0.06537712329723142,7.9105357190202295,18.861405380836537,0.11829742593365554
mackey_glass,fixed_k_dense_tsk,5,,150,5.833333333333333,35.0,0.06484213602394394,15.251621412447822,26.202491074264127,0.1349881755298382
mackey_glass,fixed_k_dense_tsk,10,,150,5.833333333333333,64.16666666666667,0.0631927554755195,36.8852955918302,47.836165253646506,0.1677112415686444
mackey_glass,fixed_k_dense_tsk,15,,150,5.833333333333333,93.33333333333333,0.05728691114547634,52.20697352734496,63.15784318916126,0.19172477190587905
mackey_glass,fixed_k_dense_tsk,20,,150,5.833333333333333,122.5,0.052843919441986575,65.88307074613475,76.83394040795106,0.2118166317111159
mackey_glass,sparse_tsk,3,0.5,25,7.8,31.2,0.0666812305059845,12.212062456695312,26.92401684641122,0.13485310775767112
mackey_glass,sparse_tsk,3,0.75,25,5.0,20.0,0.06446122374981114,5.8378517018083915,18.60899398595645,0.11916305565260632
mackey_glass,sparse_tsk,3,1.0,25,4.0,16.0,0.06389027882160042,5.027815694520741,17.105810798108855,0.113217483612364
mackey_glass,sparse_tsk,3,1.25,25,3.0,12.0,0.06355698818603184,2.9735829267317175,14.358430849759886,0.1062550984069375
mackey_glass,sparse_tsk,3,1.5,25,3.0,12.0,0.06355698818603184,2.9735829267317175,14.358430849759886,0.1062550984069375
mackey_glass,sparse_tsk,3,1.75,25,2.2,8.8,0.06325494537112814,2.0876516203166857,12.917981798896898,0.10249927046788937
mackey_glass,sparse_tsk,3,2.0,25,2.0,8.0,0.06312004884560894,1.8662010796340247,12.557901822102249,0.10167793707002999
mackey_glass,sparse_tsk,3,2.5,25,1.0,4.0,0.06318100413259704,0.5281251255428296,10.526678687451108,0.09504466814675067
mackey_glass,sparse_tsk,3,3.0,25,1.0,4.0,0.06318100413259704,0.5281251255428296,10.526678687451108,0.09504466814675067
mackey_glass,sparse_tsk,3,4.0,25,1.0,4.0,0.06318100413259704,0.5281251255428296,10.526678687451108,0.09504466814675067
mackey_glass,sparse_tsk,3,5.0,25,1.0,4.0,0.06318100413259704,0.5281251255428296,10.526678687451108,0.09504466814675067
mackey_glass,sparse_tsk,5,0.5,25,11.4,68.4,0.06643029762332595,31.824558777257554,49.03184301698926,0.18106050085448167
mackey_glass,sparse_tsk,5,0.75,25,6.2,37.2,0.06495778182627258,14.367275760629454,27.97019466144945,0.14150958282834655
mackey_glass,sparse_tsk,5,1.0,25,4.0,24.0,0.06386591715486804,9.053425848715293,21.131420952303404,0.12508795748548007
mackey_glass,sparse_tsk,5,1.25,25,3.0,18.0,0.06390313261439895,6.388660888749606,17.773508811777774,0.1172591542272784
mackey_glass,sparse_tsk,5,1.5,25,3.0,18.0,0.06390313261439895,6.388660888749606,17.773508811777774,0.1172591542272784
