timestamp,aep,comed,dayton,pjme
2014-08-22,16376.9166666667,14699.8750000000,2309.6666666667,33857.8333333333
2014-08-23,15810.0416666667,13251.4583333333,2212.0833333333,28788.9166666667
2014-08-24,15080.9583333333,13167.6666666667,2151.8750000000,28500.8750000000
2014-08-25,16810.5416666667,15020.0000000000,2514.9166666667,33059.1250000000
2014-08-26,16603.5000000000,14062.7083333333,2566.7916666667,35463.2500000000
2014-08-27,16916.2500000000,13632.2083333333,2540.0000000000,37498.0000000000
2014-08-28,16191.5833333333,12751.0833333333,2322.0833333333,35418.7083333333
2014-08-29,15647.8333333333,14111.2083333333,2262.5416666667,30703.0833333333
2014-08-30,15297.8750000000,13098.8750000000,2052.1250000000,28743.3333333333
2014-08-31,14437.2916666667,12611.7500000000,1885.2500000000,33479.8750000000
2014-09-01,15129.6250000000,12651.3333333333,2016.9166666667,36346.6666666667
2014-09-02,16422.5416666667,13650.8333333333,2251.7500000000,41471.2500000000
2014-09-03,16354.7083333333,13804.5416666667,2298.1250000000,37726.0416666667
2014-09-04,16759.7916666667,13906.8333333333,2400.1250000000,37008.5416666667
2014-09-05,17514.5833333333,14916.1666666667,2567.3333333333,39001.2083333333
2014-09-06,14887.6666666667,10590.9583333333,1890.2916666667,37945.8333333333
2014-09-07,12884.8750000000,9926.7500000000,1645.9583333333,30235.4166666667
2014-09-08,14251.1666666667,11536.5416666667,1997.3333333333,30621.5416666667
2014-09-09,14930.8333333333,12395.0416666667,2102.5833333333,30547.5416666667
2014-09-10,15411.5416666667,12744.9166666667,2155.1666666667,31895.0000000000
2014-09-11,14782.9583333333,10296.0416666667,2001.6250000000,34667.0416666667
2014-09-12,13337.2500000000,10089.8333333333,1770.6250000000,30892.8750000000
2014-09-13,12159.5833333333,9108.4166666667,1541.0416666667,26199.1250000000
2014-09-14,11531.6666666667,8614.2500000000,1470.1666666667,24124.8333333333
2014-09-15,13379.5000000000,10018.2916666667,1772.2916666667,27372.4583333333
2014-09-16,13547.3750000000,10198.9583333333,1785.5833333333,28358.0416666667
2014-09-17,13437.7500000000,10270.7500000000,1799.3333333333,27937.1666666667
